dv - | INFO flwr 2024-10-12 18:13:28,563 | server.py:240 | aggregate_fit: received 41 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:28,598 | server.py:178 | configure_evaluate: strategy sampled 41 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:31,623 | server.py:192 | aggregate_evaluate: received 41 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:31,624 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:13:31,624 | server.py:113 | [ROUND 40]
dv - | INFO flwr 2024-10-12 18:13:31,625 | server.py:226 | configure_fit: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:41,670 | server.py:240 | aggregate_fit: received 45 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:41,707 | server.py:178 | configure_evaluate: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:44,738 | server.py:192 | aggregate_evaluate: received 45 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:44,738 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:13:44,739 | server.py:113 | [ROUND 41]
dv - | INFO flwr 2024-10-12 18:13:44,739 | server.py:226 | configure_fit: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:55,789 | server.py:240 | aggregate_fit: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:55,836 | server.py:178 | configure_evaluate: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:59,856 | server.py:192 | aggregate_evaluate: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:59,857 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:13:59,857 | server.py:113 | [ROUND 42]
dv - | INFO flwr 2024-10-12 18:13:59,858 | server.py:226 | configure_fit: strategy sampled 58 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:14:12,922 | server.py:240 | aggregate_fit: received 58 results and 0 failures
dv - | INFO flwr 2024-10-12 18:14:12,983 | server.py:178 | configure_evaluate: strategy sampled 58 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:14:17,019 | server.py:192 | aggregate_evaluate: received 58 results and 0 failures
dv - | INFO flwr 2024-10-12 18:14:17,019 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:14:17,020 | server.py:113 | [ROUND 43]
dv - | INFO flwr 2024-10-12 18:14:17,021 | server.py:226 | configure_fit: strategy sampled 54 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:14:29,082 | server.py:240 | aggregate_fit: received 54 results and 0 failures
dv - | INFO flwr 2024-10-12 18:14:29,135 | server.py:178 | configure_evaluate: strategy sampled 54 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:14:33,164 | server.py:192 | aggregate_evaluate: received 54 results and 0 failures
dv - | INFO flwr 2024-10-12 18:14:33,165 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:14:33,165 | server.py:113 | [ROUND 44]
