dv - | INFO flwr 2024-09-11 13:47:11,328 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:47:11,328 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:47:11,328 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['503795445624714053', '3290520909799058613']
dv - | INFO flwr 2024-09-11 13:47:11,328 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:12,335 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:12,335 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:47:12,335 | server.py:113 | [ROUND 14]
dv - | CRITICAL flwr 2024-09-11 13:47:12,335 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:12,335 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:47:12,335 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['6527471679806967035', '1227754372335181873', '-2882069058387825482', '503795445624714053']
dv - | DEBUG flwr 2024-09-11 13:47:12,335 | dvsaa_afl.py:176 | sample size 4
dv - | INFO flwr 2024-09-11 13:47:12,335 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:18,392 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:47:18,392 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:47:18,392 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-2882069058387825482', '6527471679806967035', '-3914441494733611112', '503795445624714053']
dv - | INFO flwr 2024-09-11 13:47:18,392 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:19,414 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:19,414 | server.py:112 | 
